case_id,effect,paired_rollouts,mean_effect
goal_mug_task9_init0_factorial,selection_at_full_horizon,24,-0.16666666666666666
goal_mug_task9_init0_factorial,horizon_with_max_value,24,-0.16666666666666666
goal_mug_task9_init0_factorial,horizon_with_risk_selection,24,0.125
goal_mug_task9_init0_factorial,selection_at_adaptive_horizon,24,0.125
goal_mug_task9_init0_factorial,combined_vs_baseline,24,-0.041666666666666664
goal_mug_task9_init0_factorial,factorial_interaction,24,0.2916666666666667
long_milk_task9_init0_factorial,selection_at_full_horizon,24,0.041666666666666664
long_milk_task9_init0_factorial,horizon_with_max_value,24,0.041666666666666664
long_milk_task9_init0_factorial,horizon_with_risk_selection,24,0.08333333333333333
long_milk_task9_init0_factorial,selection_at_adaptive_horizon,24,0.08333333333333333
long_milk_task9_init0_factorial,combined_vs_baseline,24,0.125
long_milk_task9_init0_factorial,factorial_interaction,24,0.041666666666666664
long_mug_task4_init0_factorial,selection_at_full_horizon,24,-0.125
long_mug_task4_init0_factorial,horizon_with_max_value,24,0.041666666666666664
long_mug_task4_init0_factorial,horizon_with_risk_selection,24,0.16666666666666666
long_mug_task4_init0_factorial,selection_at_adaptive_horizon,24,0.0
long_mug_task4_init0_factorial,combined_vs_baseline,24,0.041666666666666664
long_mug_task4_init0_factorial,factorial_interaction,24,0.125
milk_task5_init0_factorial,selection_at_full_horizon,24,0.0
milk_task5_init0_factorial,horizon_with_max_value,24,-0.041666666666666664
milk_task5_init0_factorial,horizon_with_risk_selection,24,-0.08333333333333333
milk_task5_init0_factorial,selection_at_adaptive_horizon,24,-0.041666666666666664
milk_task5_init0_factorial,combined_vs_baseline,24,-0.08333333333333333
milk_task5_init0_factorial,factorial_interaction,24,-0.041666666666666664
new_ood_spatial_swap_task8_init0_factorial,selection_at_full_horizon,24,0.041666666666666664
new_ood_spatial_swap_task8_init0_factorial,horizon_with_max_value,24,0.2916666666666667
new_ood_spatial_swap_task8_init0_factorial,horizon_with_risk_selection,24,0.375
new_ood_spatial_swap_task8_init0_factorial,selection_at_adaptive_horizon,24,0.125
new_ood_spatial_swap_task8_init0_factorial,combined_vs_baseline,24,0.4166666666666667
new_ood_spatial_swap_task8_init0_factorial,factorial_interaction,24,0.08333333333333333
spatial_mug_task0_init0_factorial,selection_at_full_horizon,24,-0.20833333333333334
spatial_mug_task0_init0_factorial,horizon_with_max_value,24,0.20833333333333334
spatial_mug_task0_init0_factorial,horizon_with_risk_selection,24,0.3333333333333333
spatial_mug_task0_init0_factorial,selection_at_adaptive_horizon,24,-0.08333333333333333
spatial_mug_task0_init0_factorial,combined_vs_baseline,24,0.125
spatial_mug_task0_init0_factorial,factorial_interaction,24,0.125
yellow_task8_init0_factorial,selection_at_full_horizon,24,0.0
yellow_task8_init0_factorial,horizon_with_max_value,24,0.20833333333333334
yellow_task8_init0_factorial,horizon_with_risk_selection,24,0.2916666666666667
yellow_task8_init0_factorial,selection_at_adaptive_horizon,24,0.08333333333333333
yellow_task8_init0_factorial,combined_vs_baseline,24,0.2916666666666667
yellow_task8_init0_factorial,factorial_interaction,24,0.08333333333333333
