proposal,position_level,task_id,n_states,successes,success_rate,drop_rate,wrong_rate,safety_rate,mean_queries
frequent_requery_h4,x0.2,5,10,6,0.6,0.2,0.1,0.0,46.4
frequent_requery_h4,x0.2,6,10,0,0.0,0.2,0.1,0.0,52.0
frequent_requery_h4,x0.2,9,10,0,0.0,0.1,0.1,0.0,52.0
frequent_requery_h4,y0.2,4,10,0,0.0,0.0,0.0,0.0,52.0
frequent_requery_h4,y0.2,6,10,0,0.0,0.0,0.0,0.0,52.0
frequent_requery_h4,y0.2,9,10,0,0.0,0.0,0.0,0.0,52.0
frequent_requery_h4,y0.3,1,10,1,0.1,0.0,0.0,0.0,50.3
frequent_requery_h4,y0.3,5,10,0,0.0,0.0,0.1,0.0,52.0
lift_hold_h8,x0.2,5,10,4,0.4,0.6,0.0,0.0,24.0
lift_hold_h8,x0.2,6,10,1,0.1,0.3,0.1,0.0,25.5
lift_hold_h8,x0.2,9,10,0,0.0,0.0,0.0,0.0,26.0
lift_hold_h8,y0.2,4,10,0,0.0,0.0,0.0,0.0,26.0
lift_hold_h8,y0.2,6,10,1,0.1,0.1,0.0,0.0,25.5
lift_hold_h8,y0.2,9,10,1,0.1,0.1,0.1,0.0,25.9
lift_hold_h8,y0.3,1,10,1,0.1,0.0,0.5,0.0,25.1
lift_hold_h8,y0.3,5,10,0,0.0,0.0,0.4,0.0,26.0
privileged_regrasp_h8,x0.2,5,10,8,0.8,0.2,0.0,0.0,16.1
privileged_regrasp_h8,x0.2,6,10,10,1.0,0.1,0.0,0.0,15.1
privileged_regrasp_h8,x0.2,9,10,9,0.9,0.1,0.0,0.0,15.1
privileged_regrasp_h8,y0.2,4,10,1,0.1,0.1,0.1,0.0,22.5
privileged_regrasp_h8,y0.2,6,10,10,1.0,0.0,0.0,0.0,11.9
privileged_regrasp_h8,y0.2,9,10,10,1.0,0.0,0.0,0.0,10.4
privileged_regrasp_h8,y0.3,1,10,10,1.0,0.0,0.0,0.0,12.7
privileged_regrasp_h8,y0.3,5,10,4,0.4,0.0,0.5,0.0,20.2
