terminal_available,terminal_success,terminal_final_t,terminal_continuation_queries,terminal_goal_progress_max,terminal_target_drop_candidate,terminal_wrong_object_interaction_candidate,terminal_official_safety_violation,terminal_failure_type,terminal_episode_failure_type,terminal_episode_failure_event_t,terminal_episode_safe_task_success,terminal_episode_safety_terminated,terminal_episode_official_safety_violation,terminal_episode_official_safety_violation_t,terminal_episode_official_safety_cost_types,terminal_episode_target_objects,terminal_episode_goal_relevant_objects,terminal_episode_target_drop_candidate,terminal_episode_target_drop_candidate_t,terminal_episode_target_drop_candidate_object,terminal_episode_successful_target_release,terminal_episode_successful_target_release_t,terminal_episode_successful_target_release_objects,terminal_episode_wrong_object_interaction_candidate,terminal_episode_wrong_object_interaction_candidate_t,terminal_episode_kinematic_deadlock_candidate,terminal_episode_episode_goal_progress_initial,terminal_episode_episode_goal_progress_max,terminal_episode_episode_time_to_first_goal_progress,terminal_episode_episode_time_to_first_target_lift,terminal_episode_episode_target_lift_max,terminal_episode_goal_predicates_json,terminal_episode_goal_predicates_satisfied_final_json,terminal_episode_episode_eef_path_length,terminal_episode_episode_eef_net_displacement,terminal_episode_episode_eef_jerk_mean,terminal_episode_episode_eef_dimensionless_jerk_proxy,terminal_utility_v1,id,phase,factor,level,suite,task_id,init_state_id,seed_group,env_seed,arm,task_description,initial_sha256,q0_pool_sha256,video_frames,elapsed_seconds,candidate_calls_logical,cuda_peak_bytes,selector_uses_simulator_labels,prediction_mode,generated_horizon,executed_horizon,npz_sha256,video_sha256
True,False,280,18,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,alphabet_soup_1,alphabet_soup_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,-1,1.084687895058778e-13,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""]]",[0],0.416774792790253,0.21365363486780997,3.1723430969498296,1273019850.4243298,0.0,Environment_base_t0_i0_g0,screen,Environment,,libero_object_env,0,0,0,171000000,action_medoid,pick up the alphabet soup and place it in the basket,082c0e4b43e4a9fdf06216ce1c14eefd6213271cdb6ebe8980c63d559c381404,d91388cff53aade81b17e7c04aca62f0d1908d5b5a243198e3b638ed2bd81f61,281,77.28415023908019,54,6174802944,False,parallel,16,16,51ba8505d804a355681f9f07ed394948d62b9c965f7f1c7926be31eca47f558d,16f625d2f8aaef542ffdd2ad4b361414fdb21af154b83c4bf063b2d8270eb70e
True,False,280,18,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,alphabet_soup_1,alphabet_soup_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,-1,1.084687895058778e-13,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""]]",[0],0.41634838883258485,0.21383028938236082,3.286165490048366,1377476399.892551,0.0,Environment_base_t0_i0_g0,screen,Environment,,libero_object_env,0,0,0,171000000,decoder_medoid,pick up the alphabet soup and place it in the basket,082c0e4b43e4a9fdf06216ce1c14eefd6213271cdb6ebe8980c63d559c381404,d91388cff53aade81b17e7c04aca62f0d1908d5b5a243198e3b638ed2bd81f61,281,79.82882454246283,54,6174802944,False,parallel,16,16,4e23c998ab05a32bc55e19f519e1cd9ab84e84d5e456a647576f9cb34c73c51e,053225c11d4c01b095666b273e22f745c7147067eaa467f0cfaa28febcda9c6b
True,False,280,18,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,alphabet_soup_1,alphabet_soup_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,-1,1.084687895058778e-13,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""]]",[0],0.3976875651242516,0.2134086779132775,2.987162759768418,1107899242.892257,0.0,Environment_base_t0_i0_g0,screen,Environment,,libero_object_env,0,0,0,171000000,first,pick up the alphabet soup and place it in the basket,082c0e4b43e4a9fdf06216ce1c14eefd6213271cdb6ebe8980c63d559c381404,d91388cff53aade81b17e7c04aca62f0d1908d5b5a243198e3b638ed2bd81f61,281,52.86069464683533,18,6151083008,False,parallel,16,16,abf722f78f6f0c5d3354fe6c7326f0a0fc242594776263d3d1e71a19652cfc6b,696dce3c3867259d39a0d5a3b1caa4d606707c55ca06b6948318bfcf15b591fc
True,False,280,18,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,alphabet_soup_1,alphabet_soup_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,-1,1.084687895058778e-13,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""]]",[0],0.4279023644039789,0.2134892489341374,3.426020835396951,1425597276.5900288,0.0,Environment_base_t0_i0_g0,screen,Environment,,libero_object_env,0,0,0,171000000,max_value,pick up the alphabet soup and place it in the basket,082c0e4b43e4a9fdf06216ce1c14eefd6213271cdb6ebe8980c63d559c381404,d91388cff53aade81b17e7c04aca62f0d1908d5b5a243198e3b638ed2bd81f61,281,78.00670898333192,54,6174802944,False,parallel,16,16,4ed294df191a863578d88285fc1f55e494ddbefe276897d157fe52f370e00f1a,6f2fee4c591177a0daf73730081ea7ceec605852edb21a9d58c04e5978074722
True,False,280,18,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,alphabet_soup_1,alphabet_soup_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,-1,1.084687895058778e-13,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""]]",[0],0.417856703260312,0.2135945688049769,3.4242106005282995,1599496802.762447,0.0,Environment_base_t0_i0_g1,screen,Environment,,libero_object_env,0,0,1,171000000,action_medoid,pick up the alphabet soup and place it in the basket,082c0e4b43e4a9fdf06216ce1c14eefd6213271cdb6ebe8980c63d559c381404,a9c28a0d5bf611344b96a1b045fa20ce6665bf9f3ebb7931c18f5d8bb5593198,281,74.11280415207148,54,6174802944,False,parallel,16,16,a9e183a47e2fefb5eb47eb5a5c2f24692c7bea3144a2967ce53a436d9ee1d201,df89035868d0342c1b6313d06f9d281657622e7315ca0ba7f74207f2cc18b4d9
True,False,280,18,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,alphabet_soup_1,alphabet_soup_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,-1,1.084687895058778e-13,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""]]",[0],0.41588789883077965,0.2135076382121543,3.2539256776731564,1347397713.0799768,0.0,Environment_base_t0_i0_g1,screen,Environment,,libero_object_env,0,0,1,171000000,decoder_medoid,pick up the alphabet soup and place it in the basket,082c0e4b43e4a9fdf06216ce1c14eefd6213271cdb6ebe8980c63d559c381404,a9c28a0d5bf611344b96a1b045fa20ce6665bf9f3ebb7931c18f5d8bb5593198,281,74.9550348110497,54,6174802944,False,parallel,16,16,a448a5f3e78c85c5aabd01f28a771b7efae620141ec57822ad5e48a1603930aa,19fe65fcf72ff0f989106490d122b8410406db26ff1f43e53c6995731d51c62c
True,False,280,18,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,alphabet_soup_1,alphabet_soup_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,-1,1.084687895058778e-13,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""]]",[0],0.41483947656152664,0.21388630668432165,3.2365205948884723,1269904606.4057853,0.0,Environment_base_t0_i0_g1,screen,Environment,,libero_object_env,0,0,1,171000000,first,pick up the alphabet soup and place it in the basket,082c0e4b43e4a9fdf06216ce1c14eefd6213271cdb6ebe8980c63d559c381404,a9c28a0d5bf611344b96a1b045fa20ce6665bf9f3ebb7931c18f5d8bb5593198,281,55.14423867315054,18,6151083008,False,parallel,16,16,f6c54cccc027a67b327ff4dc764ef4416ebba072f2fbacd54bca18abe5625973,e0540c77b6b49619dc130ffa8a86a50cc975cb52263ec1088ccf74f95ed88237
True,False,280,18,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,alphabet_soup_1,alphabet_soup_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,-1,1.084687895058778e-13,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""]]",[0],0.40576823959126285,0.21382633681888163,3.2308857122330683,1260019938.4857194,0.0,Environment_base_t0_i0_g1,screen,Environment,,libero_object_env,0,0,1,171000000,max_value,pick up the alphabet soup and place it in the basket,082c0e4b43e4a9fdf06216ce1c14eefd6213271cdb6ebe8980c63d559c381404,a9c28a0d5bf611344b96a1b045fa20ce6665bf9f3ebb7931c18f5d8bb5593198,281,74.94516718760133,54,6174802944,False,parallel,16,16,5fc7d2b7d3f6af0883a1041b4e40c85aff343dd8560b32dbbd8dcbb39a1b513c,ce1a3b02bb94d55a9f44bdaef25f2eb9adba66dd2c097a3af1d0591e2b22b608
True,False,280,18,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,alphabet_soup_1,alphabet_soup_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,-1,1.084687895058778e-13,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""]]",[0],0.42893343164759656,0.2133871895045036,3.5583870015568704,1741188853.9164495,0.0,Environment_base_t0_i0_g2,screen,Environment,,libero_object_env,0,0,2,171000000,action_medoid,pick up the alphabet soup and place it in the basket,082c0e4b43e4a9fdf06216ce1c14eefd6213271cdb6ebe8980c63d559c381404,0b935c1af22902ae0e5171434e97a73d6d74daf0dae6bd3ef35c73dfb630935b,281,71.98394342511892,54,6174802944,False,parallel,16,16,efcf7392688bc20738164dc905411bfbc69424fab0d8169155c606a573082d7e,87df0dc2a16ff6d826ceab1215bdebb7f35abe6f3d5ed29d9d88cb11a88353af
True,False,280,18,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,alphabet_soup_1,alphabet_soup_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,-1,1.084687895058778e-13,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""]]",[0],0.41878237836712373,0.21347958023109023,3.2467687496212965,1378631117.5924258,0.0,Environment_base_t0_i0_g2,screen,Environment,,libero_object_env,0,0,2,171000000,decoder_medoid,pick up the alphabet soup and place it in the basket,082c0e4b43e4a9fdf06216ce1c14eefd6213271cdb6ebe8980c63d559c381404,0b935c1af22902ae0e5171434e97a73d6d74daf0dae6bd3ef35c73dfb630935b,281,73.40723107382655,54,6174802944,False,parallel,16,16,c4ca04c7a9056f51b25b7b3bf17b0d429a69a5a10aa34bba897a469038f95d86,254bd298d96234a614d603456c968cfd7b4ec08293dddbd5be2a9fabb4307e04
