priority,category,suite,task_id,init_state_id,observed_success,observed_fail,fail_rate,command,why_use_it,next_run_note
1,boundary_mixed,libero_spatial_with_milk,5,0,23,29,0.558,"pick the akita black bowl next to the ramekin and place it on the plate","Best current natural boundary case: many success and fail on the same task/init; useful for uncertainty metric validation.","Continue as main benchmark; use new seed ranges 80000/90000 for more holdout runs."
2,visual_ood_mixed,libero_spatial_with_mug,0,0,11,5,0.312,"pick up the black bowl between the plate and the ramekin and place it on the plate","Extra mug / visual distractor creates natural occasional fail while keeping the command familiar.","Run 16-24 rollouts with videos to inspect failure modes."
3,language_ood_mixed,libero_spatial_lan,0,0,6,2,0.250,"pick up the black bowl between the plate and the ramekin and place it on the plate","Language/paraphrase OOD; same spatial goal can sometimes fail, useful for command robustness.","Run more seeds; likely less fail-heavy than milk/mug."
4,language_ood_mixed,libero_spatial_lan,2,1,1,1,0.500,"pick up the black bowl from table center and place it on the plate","Small existing sample but mixed outcomes on same init; good candidate for expansion.","Run 16 rollouts before trusting the ratio."
5,visual_boundary,libero_spatial_with_milk,4,0,3,1,0.250,"pick the akita black bowl next to the plate and place it on the plate","Related milk visual distractor with occasional fail; easier than task5 but useful as nearby control.","Run more seeds if we need a less fail-heavy case."
6,hard_ood_fail,libero_spatial_swap,0,0,0,8,1.000,"pick up the black bowl between the plate and the ramekin and place it on the plate","Relation/placement swap OOD; very reliable fail source but not good for paired success/fail by itself.","Use as negative/OOD stress test, not as boundary mixed case."
7,hard_ood_fail,libero_spatial_swap,1,0,0,8,1.000,"pick up the black bowl next to the ramekin and place it on the plate","Relation swap OOD; stable fail.","Use for OOD detection calibration."
8,hard_ood_fail,libero_spatial_swap,2,0,0,8,1.000,"pick up the black bowl from table center and place it on the plate","Relation swap OOD; stable fail.","Use for OOD detection calibration."
9,hard_ood_fail,libero_spatial_task,0,0,0,8,1.000,"pick up the black bowl between the plate and the ramekin and place it on the plate","Task-semantics OOD; stable fail in previous sweep.","Use as hard OOD; combine with in-distribution controls."
10,hard_ood_fail,libero_spatial_task,1,0,0,8,1.000,"pick up the black bowl next to the ramekin and place it on the plate","Task-semantics OOD; stable fail.","Use as hard OOD; not enough success for paired comparison."
