reference,method,scope,episodes,macro_delta,ci95_low,ci95_high,rescues,harms,q0_action_pool_exact_rate,mcnemar_exact_p
first,max_value,All,56,0.041666666666666664,-0.016666666666666666,0.09999999999999999,4,2,0.0,0.6875
first,max_value,Environment,20,0.0,0.0,0.0,0,0,0.0,1.0
first,max_value,Object,20,0.0,-0.15,0.15,1,1,0.0,1.0
first,max_value,Position,16,0.125,0.0,0.25,3,1,0.0,0.625
first,old_guarded,All,56,0.05833333333333333,0.016666666666666666,0.1125,4,1,0.0,0.375
first,old_guarded,Environment,20,0.0,0.0,0.0,0,0,0.0,1.0
first,old_guarded,Object,20,0.05,0.0,0.15,1,0,0.0,1.0
first,old_guarded,Position,16,0.125,0.0,0.25,3,1,0.0,0.625
first,physical_density,All,56,0.05833333333333333,0.016666666666666666,0.1125,3,0,0.0,0.25
first,physical_density,Environment,20,0.05,0.0,0.15,1,0,0.0,1.0
first,physical_density,Object,20,0.0,0.0,0.0,0,0,0.0,1.0
first,physical_density,Position,16,0.125,0.0,0.25,2,0,0.0,0.5
first,physical_medoid,All,56,0.05833333333333333,0.016666666666666666,0.1125,3,0,0.0,0.25
first,physical_medoid,Environment,20,0.05,0.0,0.15,1,0,0.0,1.0
first,physical_medoid,Object,20,0.0,0.0,0.0,0,0,0.0,1.0
first,physical_medoid,Position,16,0.125,0.0,0.25,2,0,0.0,0.5
first,v2_0,All,56,0.004166666666666666,-0.049999999999999996,0.04583333333333334,3,3,0.0,1.0
first,v2_0,Environment,20,0.0,0.0,0.0,0,0,0.0,1.0
first,v2_0,Object,20,-0.05,-0.15,0.0,0,1,0.0,1.0
first,v2_0,Position,16,0.0625,0.0,0.1875,3,2,0.0,1.0
first,v2_1,All,56,0.024999999999999998,-0.029166666666666664,0.08333333333333333,3,2,0.0,1.0
first,v2_1,Environment,20,0.0,0.0,0.0,0,0,0.0,1.0
first,v2_1,Object,20,-0.05,-0.15,0.0,0,1,0.0,1.0
first,v2_1,Position,16,0.125,0.0,0.25,3,1,0.0,0.625
max_value,old_guarded,All,56,0.016666666666666666,-0.04583333333333334,0.08333333333333333,2,1,0.3392857142857143,1.0
max_value,old_guarded,Environment,20,0.0,0.0,0.0,0,0,0.3,1.0
max_value,old_guarded,Object,20,0.05,0.0,0.15,1,0,0.4,1.0
max_value,old_guarded,Position,16,0.0,-0.1875,0.1875,1,1,0.3125,1.0
max_value,physical_density,All,56,0.016666666666666666,-0.03333333333333333,0.08333333333333333,3,2,0.42857142857142855,1.0
max_value,physical_density,Environment,20,0.05,0.0,0.15,1,0,0.5,1.0
max_value,physical_density,Object,20,0.0,-0.15,0.15,1,1,0.4,1.0
max_value,physical_density,Position,16,0.0,0.0,0.0,1,1,0.375,1.0
max_value,physical_medoid,All,56,0.016666666666666666,-0.03333333333333333,0.08333333333333333,3,2,0.39285714285714285,1.0
max_value,physical_medoid,Environment,20,0.05,0.0,0.15,1,0,0.3,1.0
max_value,physical_medoid,Object,20,0.0,-0.15,0.15,1,1,0.5,1.0
max_value,physical_medoid,Position,16,0.0,0.0,0.0,1,1,0.375,1.0
max_value,v2_0,All,56,-0.0375,-0.09166666666666667,0.0,0,2,0.4107142857142857,0.5
max_value,v2_0,Environment,20,0.0,0.0,0.0,0,0,0.4,1.0
max_value,v2_0,Object,20,-0.05,-0.15,0.0,0,1,0.5,1.0
max_value,v2_0,Position,16,-0.0625,-0.1875,0.0,0,1,0.3125,1.0
max_value,v2_1,All,56,-0.016666666666666666,-0.049999999999999996,0.0,0,1,0.3392857142857143,1.0
max_value,v2_1,Environment,20,0.0,0.0,0.0,0,0,0.3,1.0
max_value,v2_1,Object,20,-0.05,-0.15,0.0,0,1,0.3,1.0
max_value,v2_1,Position,16,0.0,0.0,0.0,0,0,0.4375,1.0
old_guarded,physical_density,All,56,0.0,-0.075,0.075,2,2,0.5892857142857143,1.0
old_guarded,physical_density,Environment,20,0.05,0.0,0.15,1,0,0.4,1.0
old_guarded,physical_density,Object,20,-0.05,-0.15,0.0,0,1,0.7,1.0
old_guarded,physical_density,Position,16,0.0,-0.1875,0.1875,1,1,0.6875,1.0
old_guarded,physical_medoid,All,56,0.0,-0.075,0.075,2,2,0.48214285714285715,1.0
old_guarded,physical_medoid,Environment,20,0.05,0.0,0.15,1,0,0.3,1.0
old_guarded,physical_medoid,Object,20,-0.05,-0.15,0.0,0,1,0.5,1.0
old_guarded,physical_medoid,Position,16,0.0,-0.1875,0.1875,1,1,0.6875,1.0
old_guarded,v2_0,All,56,-0.05416666666666667,-0.12083333333333333,0.0,1,4,0.30357142857142855,0.375
old_guarded,v2_0,Environment,20,0.0,0.0,0.0,0,0,0.3,1.0
old_guarded,v2_0,Object,20,-0.1,-0.25,0.0,0,2,0.2,0.5
old_guarded,v2_0,Position,16,-0.0625,-0.1875,0.0,1,2,0.4375,1.0
old_guarded,v2_1,All,56,-0.03333333333333333,-0.10833333333333334,0.041666666666666664,1,3,0.39285714285714285,0.625
old_guarded,v2_1,Environment,20,0.0,0.0,0.0,0,0,0.4,1.0
old_guarded,v2_1,Object,20,-0.1,-0.25,0.0,0,2,0.4,0.5
old_guarded,v2_1,Position,16,0.0,-0.1875,0.1875,1,1,0.375,1.0
physical_density,physical_medoid,All,56,0.0,0.0,0.0,0,0,0.35714285714285715,1.0
physical_density,physical_medoid,Environment,20,0.0,0.0,0.0,0,0,0.4,1.0
physical_density,physical_medoid,Object,20,0.0,0.0,0.0,0,0,0.3,1.0
physical_density,physical_medoid,Position,16,0.0,0.0,0.0,0,0,0.375,1.0
physical_density,v2_0,All,56,-0.05416666666666667,-0.12083333333333333,0.0,1,4,0.32142857142857145,0.375
physical_density,v2_0,Environment,20,-0.05,-0.15,0.0,0,1,0.3,1.0
physical_density,v2_0,Object,20,-0.05,-0.15,0.0,0,1,0.2,1.0
physical_density,v2_0,Position,16,-0.0625,-0.1875,0.0,1,2,0.5,1.0
physical_density,v2_1,All,56,-0.03333333333333333,-0.08333333333333333,0.0,1,3,0.25,0.625
physical_density,v2_1,Environment,20,-0.05,-0.15,0.0,0,1,0.3,1.0
physical_density,v2_1,Object,20,-0.05,-0.15,0.0,0,1,0.1,1.0
physical_density,v2_1,Position,16,0.0,0.0,0.0,1,1,0.375,1.0
physical_medoid,v2_0,All,56,-0.05416666666666667,-0.12083333333333333,0.0,1,4,0.4107142857142857,0.375
physical_medoid,v2_0,Environment,20,-0.05,-0.15,0.0,0,1,0.3,1.0
physical_medoid,v2_0,Object,20,-0.05,-0.15,0.0,0,1,0.5,1.0
physical_medoid,v2_0,Position,16,-0.0625,-0.1875,0.0,1,2,0.4375,1.0
physical_medoid,v2_1,All,56,-0.03333333333333333,-0.08333333333333333,0.0,1,3,0.5178571428571429,0.625
physical_medoid,v2_1,Environment,20,-0.05,-0.15,0.0,0,1,0.5,1.0
physical_medoid,v2_1,Object,20,-0.05,-0.15,0.0,0,1,0.6,1.0
physical_medoid,v2_1,Position,16,0.0,0.0,0.0,1,1,0.4375,1.0
v2_0,v2_1,All,56,0.020833333333333332,0.0,0.0625,1,0,0.39285714285714285,1.0
v2_0,v2_1,Environment,20,0.0,0.0,0.0,0,0,0.2,1.0
v2_0,v2_1,Object,20,0.0,0.0,0.0,0,0,0.6,1.0
v2_0,v2_1,Position,16,0.0625,0.0,0.1875,1,0,0.375,1.0
