factor,method,episodes,successes,sr,drops,drop_rate,mean_queries,mean_final_t
Environment,first,20,8,0.4,1,0.05,14.75,227.85
Environment,max_value,20,8,0.4,0,0.0,14.2,220.25
Environment,old_guarded,20,8,0.4,0,0.0,14.2,220.05
Environment,physical_density,20,9,0.45,0,0.0,13.7,212.2
Environment,physical_medoid,20,9,0.45,0,0.0,13.8,212.35
Environment,v2_0,20,8,0.4,0,0.0,14.2,220.05
Environment,v2_1,20,8,0.4,0,0.0,14.2,220.0
Object,first,20,19,0.95,1,0.05,9.25,141.15
Object,max_value,20,19,0.95,1,0.05,9.5,144.25
Object,old_guarded,20,20,1.0,0,0.0,9.25,140.65
Object,physical_density,20,19,0.95,1,0.05,9.3,141.35
Object,physical_medoid,20,19,0.95,0,0.0,9.35,142.2
Object,v2_0,20,18,0.9,0,0.0,9.7,146.9
Object,v2_1,20,18,0.9,0,0.0,9.65,146.75
Position,first,16,4,0.25,0,0.0,17.1875,267.625
Position,max_value,16,6,0.375,0,0.0,16.375,252.5625
Position,old_guarded,16,6,0.375,0,0.0,15.25,236.125
Position,physical_density,16,6,0.375,0,0.0,16.1875,250.5625
Position,physical_medoid,16,6,0.375,0,0.0,16.0625,249.3125
Position,v2_0,16,5,0.3125,1,0.0625,16.3125,252.25
Position,v2_1,16,6,0.375,1,0.0625,16.375,252.875
