utility,method,factor,snapshots,mean_selected_utility,mean_regret,top1_accuracy
local_utility_v1,cosmos_value,Environment,100,-0.01,0.0,1.0
local_utility_v1,cosmos_value,Object,100,0.0,0.0,1.0
local_utility_v1,cosmos_value,Position,72,0.0,0.0,1.0
local_utility_v1,oracle,Environment,100,-0.01,0.0,1.0
local_utility_v1,oracle,Object,100,0.0,0.0,1.0
local_utility_v1,oracle,Position,72,0.0,0.0,1.0
local_utility_v1,random,Environment,100,-0.01,0.0,1.0
local_utility_v1,random,Object,100,0.0,0.0,1.0
local_utility_v1,random,Position,72,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Environment,100,-0.01,0.0,1.0
local_utility_v1,value_minus_internal_action,Object,100,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Position,72,0.0,0.0,1.0
terminal_utility_v1,cosmos_value,Environment,20,1.275,0.05,0.9
terminal_utility_v1,cosmos_value,Object,19,2.6842105263157894,0.3157894736842105,0.8947368421052632
terminal_utility_v1,cosmos_value,Position,13,2.0,0.038461538461538464,0.9230769230769231
terminal_utility_v1,oracle,Environment,20,1.325,0.0,1.0
terminal_utility_v1,oracle,Object,19,3.0,0.0,1.0
terminal_utility_v1,oracle,Position,13,2.0384615384615383,0.0,1.0
terminal_utility_v1,random,Environment,20,1.275,0.05,0.9
terminal_utility_v1,random,Object,19,2.6842105263157894,0.3157894736842105,0.8947368421052632
terminal_utility_v1,random,Position,13,2.0,0.038461538461538464,0.9230769230769231
terminal_utility_v1,value_minus_internal_action,Environment,20,1.275,0.05,0.9
terminal_utility_v1,value_minus_internal_action,Object,19,2.6315789473684212,0.3684210526315789,0.8947368421052632
terminal_utility_v1,value_minus_internal_action,Position,13,2.0,0.038461538461538464,0.9230769230769231
