factor,terminal_outcome,open_terminal_failure_type,feedback_terminal_failure_type,states
Object,harm,success,timeout_no_goal,9
Position,rescue,timeout_no_goal,success,8
Object,rescue,timeout_no_goal,success,7
Object,rescue,target_drop_candidate,success,6
Object,rescue,kinematic_deadlock_candidate,success,5
Environment,harm,success,timeout_no_goal,5
Position,harm,success,kinematic_deadlock_candidate,3
Position,harm,success,timeout_no_goal,3
Environment,harm,success,wrong_object_interaction_candidate,2
Environment,rescue,target_drop_candidate,success,2
Position,harm,success,target_drop_candidate,2
Position,harm,success,wrong_object_interaction_candidate,2
Environment,rescue,timeout_no_goal,success,1
Object,harm,success,kinematic_deadlock_candidate,1
Object,harm,success,wrong_object_interaction_candidate,1
Environment,rescue,kinematic_deadlock_candidate,success,1
Position,rescue,target_drop_candidate,success,1
Position,rescue,wrong_object_interaction_candidate,success,1
