baseline_strategy_id,strategy_id,event,paired_rollouts,baseline_event_count,strategy_event_count,baseline_event_rate,strategy_event_rate,delta_event_rate,event_reduced,event_increased,event_unchanged,mcnemar_exact_p
max_value,action_l1,target_drop_candidate,240,73,75,0.30416666666666664,0.3125,0.00833333333333336,10,12,218,0.8318119049072266
max_value,action_l1,wrong_object_interaction_candidate,240,36,37,0.15,0.15416666666666667,0.00416666666666668,4,5,231,1.0
max_value,action_l1,timeout_no_goal,240,14,14,0.058333333333333334,0.058333333333333334,0.0,6,6,228,1.0
max_value,action_l1,kinematic_deadlock_candidate,240,2,2,0.008333333333333333,0.008333333333333333,0.0,0,0,240,1.0
max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,target_drop_candidate,240,73,57,0.30416666666666664,0.2375,-0.06666666666666665,28,12,200,0.01658900337497471
max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,wrong_object_interaction_candidate,240,36,35,0.15,0.14583333333333334,-0.004166666666666652,6,5,229,1.0
max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,timeout_no_goal,240,14,37,0.058333333333333334,0.15416666666666667,0.09583333333333334,3,26,211,1.5236437320709229e-05
max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,kinematic_deadlock_candidate,240,2,2,0.008333333333333333,0.008333333333333333,0.0,2,2,236,1.0
max_value,requery_l1_h8,target_drop_candidate,240,73,51,0.30416666666666664,0.2125,-0.09166666666666665,28,6,206,0.00019512558355927467
max_value,requery_l1_h8,wrong_object_interaction_candidate,240,36,39,0.15,0.1625,0.012500000000000011,4,7,229,0.548828125
max_value,requery_l1_h8,timeout_no_goal,240,14,24,0.058333333333333334,0.1,0.04166666666666667,10,20,210,0.09873714670538902
max_value,requery_l1_h8,kinematic_deadlock_candidate,240,2,1,0.008333333333333333,0.004166666666666667,-0.004166666666666667,2,1,237,1.0
