factor,feature,disagreeing_queries,mean_selected_minus_max_value_z,median_selected_minus_max_value_z,mean_selected_minus_max_value_raw
Environment,candidate_action_chunk_l1,1308,1.4423837440262923,1.5477899274689082,0.0017248514230827309
Environment,candidate_action_chunk_l2,1308,1.2552100386536074,1.3473913166786227,0.001563440153905011
Environment,candidate_first_action_l1,1308,0.7379463985293496,0.8416561036447243,0.0022564026376158453
Environment,candidate_value,1308,-1.372237378882015,-1.3191720153251822,-0.007106241579267228
Environment,latent_action_copy_std_max,1308,-0.11947722955855118,-0.0696460367721598,-0.0027580046257294644
Environment,latent_action_copy_std_mean,1308,-0.4584012072539066,-0.47209370378832394,-0.00010090124143988168
Environment,latent_action_first_step_copy_l2_std,1308,-0.18852060922646433,-0.2065318124030034,-0.0005090161431751666
Environment,latent_future_proprio_copy_std_max,1308,-0.06593314912938363,-0.08396930081076416,-2.100916304525888e-05
Environment,latent_future_proprio_copy_std_mean,1308,-0.16536953086537134,-0.1478438423988835,-3.088426716420628e-05
Environment,latent_value_element_std_max,1308,0.7231634736353052,0.9533135766491786,0.0003163737126708669
Environment,latent_value_element_std_mean,1308,0.7231634736353052,0.9533135766491786,0.0003163737126708669
Object,candidate_action_chunk_l1,712,1.2218307163418256,1.2872679928140902,0.0008334524594665913
Object,candidate_action_chunk_l2,712,1.429960176875106,1.542666860569101,0.0007972211650248324
Object,candidate_first_action_l1,712,0.7668979569126194,0.8260245741437849,0.0009553168764275112
Object,candidate_value,712,-1.3947891177747729,-1.2484987633693136,-0.0011100915543149027
Object,latent_action_copy_std_max,712,-0.34550535637752394,-0.3778009277553191,-0.0007080516498012657
Object,latent_action_copy_std_mean,712,-0.3663437193061754,-0.3663264750680766,-4.155605016380884e-05
Object,latent_action_first_step_copy_l2_std,712,0.28062403167951105,0.34600961288168486,0.00014812229044233144
Object,latent_future_proprio_copy_std_max,712,0.4856658903251783,0.5770472256658251,6.0827198590078713e-05
Object,latent_future_proprio_copy_std_mean,712,0.09048054781564396,0.12577468839115968,8.736628505369921e-06
Object,latent_value_element_std_max,712,-0.5926839551521329,-0.6524322374787233,-7.754784362558066e-05
Object,latent_value_element_std_mean,712,-0.5926839551521329,-0.6524322374787233,-7.754784362558066e-05
Position,candidate_action_chunk_l1,2018,-0.707757302019033,-0.8277383790354094,-0.0012190124339343771
Position,candidate_action_chunk_l2,2018,-0.7332777958393322,-0.8266988808653872,-0.001339687080638496
Position,candidate_first_action_l1,2018,0.09455772437324701,0.10155625437347293,0.0006868031588489166
Position,candidate_value,2018,-2.084386179168345,-2.281735909477276,-0.005114449145654502
Position,latent_action_copy_std_max,2018,-0.19946017151696585,-0.1356366572216925,0.0011773632407350867
Position,latent_action_copy_std_mean,2018,0.013249067910647309,0.019944226964725642,5.090575848915591e-05
Position,latent_action_first_step_copy_l2_std,2018,-0.054274935010013695,-0.06426378306510255,-0.00013323321502851424
Position,latent_future_proprio_copy_std_max,2018,0.11930683117258309,0.17352012678685752,9.272441016907026e-05
Position,latent_future_proprio_copy_std_mean,2018,0.8217282920097342,1.0395948511043769,0.00012229432350041196
Position,latent_value_element_std_max,2018,0.10260438943625687,0.10257097728415283,1.629061694187735e-05
Position,latent_value_element_std_mean,2018,0.10260438943625687,0.10257097728415283,1.629061694187735e-05
